コード,純利益,純資産
4881,-1911527000.0,1464133000.0
5660,1034000000.0,24020000000.0
8508,7939000000.0,161828000000.0
8928,3722466000.0,43564380000.0
5590,485016000.0,7633070000.0
2477,1067422000.0,6768401000.0
5035,-195091000.0,3062173000.0
9849,28016000.0,3898295000.0
3172,319000000.0,6284000000.0
5941,1807390000.0,20448189000.0
5868,317729000.0,2960189000.0
4667,286207000.0,6224144000.0
7480,,18694338000.0
8704,4547000000.0,17410000000.0
4491,397887000.0,3580183000.0
5973,-6437000.0,10776762000.0
9212,127324000.0,2106117000.0
9930,648479000.0,10783334000.0
1435,1989528000.0,11163583000.0
9127,2095920000.0,9263682000.0
6391,578915000.0,7818377000.0
9768,2381070000.0,30711271000.0
3991,1083381000.0,4910539000.0
9265,616000000.0,8975000000.0
4750,335244000.0,5566423000.0
2332,767591000.0,7253458000.0
2341,189080000.0,2855568000.0
4465,1805495000.0,14756730000.0
4238,606384000.0,22989619000.0
3934,830895000.0,7940570000.0
6675,3502000000.0,30764000000.0
2305,1162055000.0,30229392000.0
7702,89000000.0,40834000000.0
4012,642849000.0,4076266000.0
2114,2845999000.0,23827479000.0
6772,709008000.0,7575523000.0
6203,749000000.0,18736000000.0
9233,1803117000.0,21962937000.0
4659,2104607000.0,25029760000.0
6643,,22403326000.0
2342,-1089641000.0,4762709000.0
3773,1408637000.0,12307617000.0
5268,411747000.0,12126380000.0
8898,802247000.0,6611474000.0
7255,211910000.0,4860910000.0
2876,-422804000.0,6120094000.0
6803,,3558000000.0
1844,,5617804000.0
4171,232163000.0,2520329000.0
4284,839840000.0,6578035000.0
2454,-39054000.0,4054878000.0
2907,1548947000.0,17388774000.0
7514,11000000.0,16329000000.0
9782,841330000.0,16726388000.0
4167,125877000.0,1905372000.0
6853,1033330000.0,18214871000.0
4595,3425000000.0,18683000000.0
6546,250059000.0,6996906000.0
3918,817590000.0,9023528000.0
2169,456433000.0,8892661000.0
3042,42811000.0,1186082000.0
6822,,7053730000.0
4317,745577000.0,6795352000.0
4334,176705000.0,2627361000.0
5126,129000000.0,1377000000.0
4673,620503000.0,5248285000.0
1827,,42834000000.0
9904,569000000.0,4468000000.0
5484,,27920571000.0
9687,1860000000.0,16716000000.0
7217,247681000.0,6201279000.0
6378,2309000000.0,19131000000.0
6392,,16409425000.0
2652,1121645000.0,11822655000.0
8285,,47378000000.0
6786,-230861000.0,749109000.0
4586,-937373000.0,2048990000.0
3904,683924000.0,5797747000.0
8518,,6816000000.0
6190,-448933000.0,1365406000.0
7500,2681935000.0,20480298000.0
1491,1218720000.0,8182188000.0
5974,376000000.0,5384000000.0
4599,,8894534000.0
7377,1922581000.0,15498745000.0
4248,771051000.0,12067267000.0
3138,79224000.0,2411845000.0
7072,153480000.0,1531062000.0
9763,1218000000.0,16816000000.0
6138,205422000.0,7939070000.0
6877,6762000000.0,74532000000.0
4427,16404000.0,1354791000.0
2981,1404730000.0,8345976000.0
4391,283173000.0,2176741000.0
4891,-660548000.0,2815488000.0
2438,-263056000.0,5386353000.0
7883,332274000.0,11829355000.0
4424,-372270000.0,907103000.0
2183,-539102000.0,7253456000.0
3623,408022000.0,3132963000.0
7999,1373000000.0,23677000000.0
4416,13231000.0,1080799000.0
1381,1720000000.0,21599000000.0
3723,903682000.0,10877198000.0
7277,-1204000000.0,28248000000.0
7506,79624000.0,5652548000.0
3625,,2275762000.0
9165,,3155977000.0
1904,,27628953000.0
7042,188644000.0,1184277000.0
6518,,11898022000.0
3842,204883000.0,2172751000.0
7986,418693000.0,4629047000.0
2669,1807608000.0,29885050000.0
3909,-742757000.0,795895000.0
3998,-3780000.0,2190865000.0
3035,332198000.0,4477756000.0
3242,1850600000.0,17347836000.0
9242,,1305191000.0
7413,47544000.0,1160573000.0
7811,2175834000.0,21028217000.0
5355,369278000.0,5609705000.0
3467,1580177000.0,7228624000.0
6081,-743342000.0,1784409000.0
3001,5763000000.0,97645000000.0
3733,6112000000.0,41895000000.0
6648,1963138000.0,17744301000.0
4052,,729880000.0
6199,1709688000.0,8902773000.0
2136,413669000.0,3979883000.0
4929,,4178925000.0
7284,452884000.0,12003681000.0
7416,670014000.0,24165992000.0
6612,-1596000000.0,2810000000.0
5367,503567000.0,13113358000.0
6470,-4187000000.0,68669000000.0
6255,1325483000.0,10835613000.0
5965,2343939000.0,26306609000.0
3195,161415000.0,1887171000.0
2370,-1362138000.0,3777573000.0
3926,-120685000.0,4344477000.0
3181,,3062842000.0
4262,617746000.0,5803342000.0
3996,257171000.0,1803061000.0
4479,407256000.0,5416508000.0
9036,105654000.0,20207104000.0
3969,728342000.0,5137069000.0
7057,193686000.0,2057911000.0
7819,977908000.0,7418388000.0
3070,-242480000.0,4931230000.0
6171,482989000.0,5174746000.0
6185,,3980109000.0
9240,35023000.0,1112622000.0
3858,,2396047000.0
5888,948553000.0,6311258000.0
1783,-239599000.0,6376921000.0
4198,257600000.0,2738815000.0
5103,-203709000.0,1735921000.0
5284,2408421000.0,12358480000.0
3374,1049341000.0,11940226000.0
1438,384527000.0,4144480000.0
3912,488458000.0,3083716000.0
4664,186976000.0,2177556000.0
2498,3819096000.0,28455746000.0
7374,1039183000.0,5816939000.0
5936,792635000.0,9493482000.0
6633,263954000.0,3361916000.0
4440,424218000.0,2825370000.0
3945,976000000.0,4716000000.0
6424,1001137000.0,6038793000.0
3675,1356038000.0,7983414000.0
4124,-32110000.0,1647265000.0
7836,181617000.0,1734411000.0
7505,2517769000.0,15407626000.0
4031,350000000.0,23814000000.0
5244,1077496000.0,4095757000.0
7049,426572000.0,2536310000.0
5013,4315000000.0,43433000000.0
7608,929140000.0,5576842000.0
4113,,18499000000.0
7043,242210000.0,1415250000.0
4447,85590000.0,1152446000.0
4892,-763843000.0,2757626000.0
5161,3957000000.0,87934000000.0
7360,-151848000.0,952540000.0
4197,199926000.0,1592242000.0
2480,330829000.0,3701024000.0
4926,136272000.0,5703106000.0
2440,211017000.0,4945434000.0
9213,-180527000.0,852380000.0
6223,3455000000.0,32092000000.0
3648,1379546000.0,14661582000.0
1717,910529000.0,5597403000.0
7048,140537000.0,2647226000.0
4556,641019000.0,6775177000.0
5834,4388000000.0,25170000000.0
2436,863210000.0,4336428000.0
7963,885292000.0,13797083000.0
4642,541343000.0,7568854000.0
4884,-916255000.0,1309254000.0
3937,858398000.0,5601789000.0
4445,314575000.0,1716779000.0
6029,258292000.0,1695991000.0
4169,-4985167000.0,4551681000.0
7058,-38704000.0,4532325000.0
4335,,1484235000.0
2003,3550000000.0,49351000000.0
4263,,4604297000.0
2983,2457659000.0,7816508000.0
4361,298393000.0,3133512000.0
9467,,13708451000.0
2311,424869000.0,4674890000.0
6145,1307000000.0,36388000000.0
1736,,22378262000.0
4685,,19164000000.0
6090,256420000.0,1908596000.0
4671,1920000000.0,25252000000.0
5589,1498112000.0,13032070000.0
3988,423426000.0,3752379000.0
4068,,1970985000.0
7687,258000000.0,1391000000.0
7980,780581000.0,8565247000.0
9244,108128000.0,731964000.0
4488,-497022000.0,4523464000.0
4414,720787000.0,2722307000.0
4346,922000000.0,4329000000.0
2437,-142340000.0,2347833000.0
5729,2456081000.0,11932839000.0
4832,5442363000.0,33005781000.0
