コードA,銘柄A,業種A,コードB,銘柄B,業種B,相関
2904.T,一正蒲鉾,食料品,9656.T,グリーンランドリゾート,サービス業,0.865
6082.T,ライドオンエクスプレスホールディングス,サービス業,2816.T,ダイショー,食料品,0.864
2186.T,ソーバル,サービス業,2816.T,ダイショー,食料品,0.863
2816.T,ダイショー,食料品,9846.T,天満屋ストア,小売業,0.861
2169.T,ＣＤＳ,サービス業,2818.T,ピエトロ,食料品,0.86
7514.T,ヒマラヤ,小売業,2818.T,ピエトロ,食料品,0.86
4365.T,松本油脂製薬,化学,9950.T,ハチバン,小売業,0.859
6082.T,ライドオンエクスプレスホールディングス,サービス業,2818.T,ピエトロ,食料品,0.859
2816.T,ダイショー,食料品,9661.T,歌舞伎座,サービス業,0.858
3065.T,ライフフーズ,小売業,9656.T,グリーンランドリゾート,サービス業,0.858
2816.T,ダイショー,食料品,2798.T,ワイズテーブルコーポレーション,小売業,0.858
2816.T,ダイショー,食料品,9636.T,きんえい,サービス業,0.857
9849.T,共同紙販ホールディングス,卸売業,2818.T,ピエトロ,食料品,0.857
9986.T,蔵王産業,卸売業,2816.T,ダイショー,食料品,0.856
2186.T,ソーバル,サービス業,2798.T,ワイズテーブルコーポレーション,小売業,0.856
2683.T,魚喜,小売業,9656.T,グリーンランドリゾート,サービス業,0.856
2818.T,ピエトロ,食料品,7562.T,安楽亭,小売業,0.855
2169.T,ＣＤＳ,サービス業,3065.T,ライフフーズ,小売業,0.854
4365.T,松本油脂製薬,化学,7514.T,ヒマラヤ,小売業,0.853
9986.T,蔵王産業,卸売業,2169.T,ＣＤＳ,サービス業,0.852
3800.T,ユニリタ,情報・通信業,2818.T,ピエトロ,食料品,0.851
9849.T,共同紙販ホールディングス,卸売業,2816.T,ダイショー,食料品,0.85
2683.T,魚喜,小売業,2904.T,一正蒲鉾,食料品,0.849
4365.T,松本油脂製薬,化学,9661.T,歌舞伎座,サービス業,0.849
9950.T,ハチバン,小売業,2904.T,一正蒲鉾,食料品,0.847
