コード,銘柄名,業種33,規模,新業種,method
6034,ＭＲＴ,サービス業,-,,
5820,三ッ星,非鉄金属,-,鉄鋼・非鉄金属,rule
6038,イード,サービス業,-,,
7287,日本精機,輸送用機器,-,自動車・輸送用機器,rule
9906,藤井産業,卸売業,-,,
6737,ＥＩＺＯ,電気機器,TOPIX Small 1,,
4591,リボミック,医薬品,-,医薬品・バイオ,rule
5906,エムケー精工,金属製品,-,金属製品・金属加工,rule
7922,三光産業,その他製品,-,,
6430,ダイコク電機,機械,TOPIX Small 2,,
4429,リックソフト,情報・通信業,-,,
3932,アカツキ,情報・通信業,TOPIX Small 2,,
3437,特殊電極,金属製品,-,金属製品・金属加工,rule
9955,ヨンキュウ,卸売業,-,,
6337,テセック,機械,-,,
7523,アールビバン,小売業,-,,
4116,大日精化工業,化学,TOPIX Small 2,,
9647,協和コンサルタンツ,サービス業,-,,
6316,丸山製作所,機械,-,,
3377,バイク王＆カンパニー,卸売業,-,,
7444,ハリマ共和物産,卸売業,-,,
2613,Ｊ－オイルミルズ,食料品,TOPIX Small 2,,
1822,大豊建設,建設業,TOPIX Small 2,,
6572,オープングループ,サービス業,TOPIX Small 2,,
8098,稲畑産業,卸売業,TOPIX Small 1,,
6496,中北製作所,機械,-,,
4229,群栄化学工業,化学,TOPIX Small 2,,
7031,インバウンドテック,サービス業,-,,
8185,チヨダ,小売業,TOPIX Small 2,,
1981,協和日成,建設業,-,,
5816,オーナンバ,非鉄金属,-,鉄鋼・非鉄金属,rule
1788,三東工業社,建設業,-,,
2481,タウンニュース社,サービス業,-,,
7192,日本モーゲージサービス,その他金融業,-,証券・保険・その他金融,rule
6918,アバールデータ,電気機器,-,,
8737,あかつき本社,証券、商品先物取引業,-,証券・保険・その他金融,rule
6417,ＳＡＮＫＹＯ,機械,TOPIX Mid400,,
1786,オリエンタル白石,建設業,TOPIX Small 2,,
1972,三晃金属工業,建設業,-,,
6540,船場,サービス業,-,,
3908,コラボス,情報・通信業,-,,
7370,Ｅｎｊｉｎ,サービス業,-,,
5451,ヨドコウ,鉄鋼,TOPIX Small 1,鉄鋼・非鉄金属,rule
6927,ヘリオス　テクノ　ホールディング,電気機器,-,,
7983,ミロク,その他製品,-,,
4316,ビーマップ,情報・通信業,-,,
7613,シークス,卸売業,TOPIX Small 1,,
8877,エスリード,不動産業,TOPIX Small 2,,
9726,ＫＮＴ－ＣＴホールディングス,サービス業,TOPIX Small 2,,
6848,東亜ディーケーケー,電気機器,-,,
6484,ＫＶＫ,機械,-,,
5125,ファインズ,情報・通信業,-,,
6279,瑞光,機械,TOPIX Small 2,,
9363,大運,倉庫・運輸関連業,-,貨物・物流・倉庫,rule
1888,若築建設,建設業,TOPIX Small 2,,
7955,クリナップ,その他製品,TOPIX Small 2,,
3553,共和レザー,化学,-,,
7833,アイフィスジャパン,その他製品,-,,
2763,エフティグループ,卸売業,-,,
7460,ヤギ,卸売業,-,,
7527,システムソフト,情報・通信業,TOPIX Small 2,,
9902,日伝,卸売業,TOPIX Small 2,,
2053,中部飼料,食料品,TOPIX Small 2,,
3682,エンカレッジ・テクノロジ,情報・通信業,-,,
2961,日本調理機,金属製品,-,金属製品・金属加工,rule
4059,まぐまぐ,情報・通信業,-,,
2121,ＭＩＸＩ,情報・通信業,TOPIX Small 1,,
4635,東京インキ,化学,-,,
1443,技研ホールディングス,建設業,-,,
7722,国際計測器,精密機器,-,計測・分析・光学機器,rule
8091,ニチモウ,卸売業,-,,
9888,ＵＥＸ,卸売業,-,,
4754,トスネット,サービス業,-,,
